name,Cap,TID,InfoTID,destinationBoard,noTargets,type,IconSWF,IconExportName,projectile,effect,areaPattern,level,upgradeCostGold,upgradeCostPoints,damage,freezeTurns,combatValue,DropEffect,animation,menuAnimation,ColorPrimary,ColorSecondary,Targeting,Sound,Disabled,BaseDamageMultiplier
Step,StepCap,TID_CARD_STEP,TID_CARD_STEP_DESCRIPTION,player,2,tactics,sc/ui_cards.sc,icon_tactic_step,,,,1,,,,,35,GainCard,Step,Step,9EC6FB,4B8EE4,,Step_Spell,,
Charge,ChargeCap,TID_CARD_CHARGE,TID_CARD_CHARGE_DESCRIPTION,player,1,tactics,sc/ui_cards.sc,icon_tactic_charge,,,,1,,,,,55,GainCard,Charge,Charge,FB7D86,C52731,,Rush_2,,
Log,LogCap,TID_CARD_LOG,TID_CARD_LOG_DESCRIPTION,enemy,1,attack,sc/ui_cards.sc,icon_spell_log,log,,,1,,,100,,80,GainCard,Log,Log,E0A243,945900,first,Log_Spell,,
,,,,,,,,,,,,2,1200,4,115,,,,,,,,,,,
,,,,,,,,,,,,3,2500,8,132,,,,,,,,,,,
,,,,,,,,,,,,4,5000,12,152,,,,,,,,,,,
,,,,,,,,,,,,5,8000,20,175,,,,,,,,,,,
,,,,,,,,,,,,6,16000,40,201,,,,,,,,,,,
,,,,,,,,,,,,7,28000,70,231,,,,,,,,,,,
,,,,,,,,,,,,8,50000,100,266,,,,,,,,,,,
,,,,,,,,,,,,9,80000,150,306,,,,,,,,,,,
,,,,,,,,,,,,10,120000,200,352,,,,,,,,,,,
Rocket,RocketCap,TID_CARD_ROCKET,TID_CARD_ROCKET_DESCRIPTION,enemy,1,attack,sc/ui_cards.sc,icon_spell_rocket,rocket,,,1,,,500,,80,GainCard,Rocket,Rocket,D97B59,40241a,,Rocket_Spell,,
,,,,,,,,,,,,2,1200,4,575,,,,,,,,,,,
,,,,,,,,,,,,3,2500,8,661,,,,,,,,,,,
,,,,,,,,,,,,4,5000,12,760,,,,,,,,,,,
,,,,,,,,,,,,5,8000,20,874,,,,,,,,,,,
,,,,,,,,,,,,6,16000,40,1005,,,,,,,,,,,
,,,,,,,,,,,,7,28000,70,1156,,,,,,,,,,,
,,,,,,,,,,,,8,50000,100,1329,,,,,,,,,,,
,,,,,,,,,,,,9,80000,150,1528,,,,,,,,,,,
,,,,,,,,,,,,10,120000,200,1757,,,,,,,,,,,
Rush,RushCap,TID_CARD_RUSH,TID_CARD_RUSH_DESCRIPTION,player,1,tactics,sc/ui_cards.sc,icon_tactic_rush,,,,1,,,,,48,GainCard,Rush,Rush,FBB2F5,B74BAE,,Rush_1,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
